X1,X2,Y
32,22,1
99,47,0
76,84,0
81,19,0
90,79,0
53,7,0
59,7,0
52,14,0
30,0,1
13,81,1
24,60,1
86,59,0
3,18,1
54,100,0
51,41,0
31,71,1
37,60,1
69,47,0
48,35,1
59,11,0
53,18,0
37,78,1
38,100,1
74,25,0
35,48,1
70,80,0
100,1,0
13,75,1
71,50,0
68,33,0
50,24,0
55,57,0
49,54,1
47,44,1
82,2,0
67,47,0
16,49,1
16,74,1
16,59,1
17,76,1
38,70,1
93,51,0
18,31,1
83,83,0
86,73,0
45,5,1
71,82,0
6,52,1
70,39,0
60,9,0
47,83,1
83,4,0
41,95,1
34,99,1
58,75,0
69,63,0
3,100,1
5,21,1
11,84,1
73,14,0
84,83,0
32,96,1
2,39,1
24,81,1
37,57,1
53,73,0
95,25,0
50,15,0
74,80,0
61,74,0
58,62,0
76,72,0
93,49,0
12,10,1
9,76,1
50,23,0
87,64,0
39,27,1
74,67,0
40,37,1
7,85,1
9,18,1
64,27,0
79,83,0
26,45,1
8,3,1
79,97,0
86,45,0
96,55,0
89,73,0
83,55,0
37,84,1
19,61,1
96,28,0
55,32,0
86,42,0
21,12,1
54,68,0
76,61,0
99,92,0
80,49,0
